************************************************************
numVars,numInstances,numFocalElements,numConfigs,time
2,2,1000,100,7578
3,2,1000,100,5083
4,2,1000,100,5617
5,2,1000,100,5920
6,2,1000,100,7694
7,2,1000,100,4642
8,2,1000,100,7672
9,2,1000,100,5115
10,2,1000,100,4958
11,2,1000,100,5384
12,2,1000,100,4661
************************************************************
numVars,numInstances,numFocalElements,numConfigs,time
2,500,100,100,47
2,501,100,100,32
2,502,100,100,41
2,503,100,100,43
2,504,100,100,36
2,505,100,100,37
2,506,100,100,36
2,507,100,100,37
2,508,100,100,38
2,509,100,100,35
2,510,100,100,35
2,511,100,100,34
2,512,100,100,35
2,513,100,100,35
2,514,100,100,35
2,515,100,100,34
2,516,100,100,35
2,517,100,100,35
2,518,100,100,36
2,519,100,100,35
2,520,100,100,37
2,521,100,100,41
2,522,100,100,37
2,523,100,100,36
2,524,100,100,42
2,525,100,100,34
2,526,100,100,33
2,527,100,100,33
2,528,100,100,34
2,529,100,100,33
2,530,100,100,33
2,531,100,100,34
2,532,100,100,34
2,533,100,100,34
2,534,100,100,36
2,535,100,100,37
2,536,100,100,36
2,537,100,100,35
2,538,100,100,35
2,539,100,100,35
2,540,100,100,38
2,541,100,100,35
2,542,100,100,34
2,543,100,100,36
2,544,100,100,36
2,545,100,100,36
2,546,100,100,37
2,547,100,100,36
2,548,100,100,36
2,549,100,100,36
2,550,100,100,36
2,551,100,100,36
2,552,100,100,36
2,553,100,100,37
2,554,100,100,38
2,555,100,100,40
2,556,100,100,39
2,557,100,100,38
2,558,100,100,37
2,559,100,100,37
2,560,100,100,35
2,561,100,100,46
2,562,100,100,35
2,563,100,100,36
2,564,100,100,38
2,565,100,100,36
2,566,100,100,35
2,567,100,100,36
2,568,100,100,35
2,569,100,100,35
2,570,100,100,35
2,571,100,100,37
2,572,100,100,37
2,573,100,100,37
2,574,100,100,36
2,575,100,100,36
2,576,100,100,42
2,577,100,100,41
2,578,100,100,35
2,579,100,100,35
2,580,100,100,33
2,581,100,100,33
2,582,100,100,34
2,583,100,100,34
2,584,100,100,33
2,585,100,100,35
2,586,100,100,34
2,587,100,100,34
2,588,100,100,34
2,589,100,100,33
2,590,100,100,34
2,591,100,100,34
2,592,100,100,33
2,593,100,100,34
2,594,100,100,33
2,595,100,100,33
2,596,100,100,35
2,597,100,100,33
2,598,100,100,34
2,599,100,100,33
2,600,100,100,34
2,601,100,100,34
2,602,100,100,34
2,603,100,100,33
2,604,100,100,33
2,605,100,100,33
2,606,100,100,33
2,607,100,100,33
2,608,100,100,33
2,609,100,100,33
2,610,100,100,34
2,611,100,100,33
2,612,100,100,34
2,613,100,100,32
2,614,100,100,31
2,615,100,100,38
2,616,100,100,32
2,617,100,100,31
2,618,100,100,38
2,619,100,100,32
2,620,100,100,31
2,621,100,100,31
2,622,100,100,38
2,623,100,100,33
2,624,100,100,32
2,625,100,100,34
2,626,100,100,34
2,627,100,100,34
2,628,100,100,33
2,629,100,100,33
2,630,100,100,37
2,631,100,100,32
2,632,100,100,31
2,633,100,100,35
2,634,100,100,21
2,635,100,100,31
2,636,100,100,31
2,637,100,100,37
2,638,100,100,47
2,639,100,100,37
2,640,100,100,32
2,641,100,100,31
2,642,100,100,36
2,643,100,100,19
2,644,100,100,47
2,645,100,100,35
2,646,100,100,19
2,647,100,100,31
2,648,100,100,48
2,649,100,100,22
2,650,100,100,31
2,651,100,100,31
2,652,100,100,37
2,653,100,100,31
2,654,100,100,31
2,655,100,100,38
2,656,100,100,31
2,657,100,100,31
2,658,100,100,45
2,659,100,100,33
2,660,100,100,33
2,661,100,100,33
2,662,100,100,32
2,663,100,100,34
2,664,100,100,33
2,665,100,100,32
2,666,100,100,32
2,667,100,100,34
2,668,100,100,33
2,669,100,100,34
2,670,100,100,34
2,671,100,100,43
2,672,100,100,34
2,673,100,100,34
2,674,100,100,33
2,675,100,100,34
2,676,100,100,34
2,677,100,100,32
2,678,100,100,34
2,679,100,100,33
2,680,100,100,34
2,681,100,100,33
2,682,100,100,34
2,683,100,100,34
2,684,100,100,33
2,685,100,100,34
2,686,100,100,38
2,687,100,100,32
2,688,100,100,31
2,689,100,100,38
2,690,100,100,32
2,691,100,100,47
2,692,100,100,22
2,693,100,100,31
2,694,100,100,31
2,695,100,100,38
2,696,100,100,34
2,697,100,100,36
2,698,100,100,33
2,699,100,100,33
2,700,100,100,35
2,701,100,100,32
2,702,100,100,31
2,703,100,100,38
2,704,100,100,32
2,705,100,100,31
2,706,100,100,44
2,707,100,100,32
2,708,100,100,33
2,709,100,100,38
2,710,100,100,31
2,711,100,100,32
2,712,100,100,38
2,713,100,100,31
2,714,100,100,32
2,715,100,100,38
2,716,100,100,31
2,717,100,100,33
2,718,100,100,37
2,719,100,100,31
2,720,100,100,34
2,721,100,100,33
2,722,100,100,34
2,723,100,100,33
2,724,100,100,34
2,725,100,100,33
2,726,100,100,33
2,727,100,100,41
2,728,100,100,34
2,729,100,100,33
2,730,100,100,33
2,731,100,100,33
2,732,100,100,33
2,733,100,100,33
2,734,100,100,33
2,735,100,100,33
2,736,100,100,32
2,737,100,100,34
2,738,100,100,33
2,739,100,100,34
2,740,100,100,34
2,741,100,100,34
2,742,100,100,33
2,743,100,100,35
2,744,100,100,34
2,745,100,100,35
2,746,100,100,33
2,747,100,100,35
2,748,100,100,34
2,749,100,100,34
2,750,100,100,34
2,751,100,100,34
2,752,100,100,34
2,753,100,100,33
2,754,100,100,34
2,755,100,100,33
2,756,100,100,33
2,757,100,100,35
2,758,100,100,34
2,759,100,100,34
2,760,100,100,32
2,761,100,100,35
2,762,100,100,33
2,763,100,100,34
2,764,100,100,34
2,765,100,100,33
2,766,100,100,35
2,767,100,100,34
2,768,100,100,34
2,769,100,100,33
2,770,100,100,34
2,771,100,100,34
2,772,100,100,34
2,773,100,100,31
2,774,100,100,31
2,775,100,100,37
2,776,100,100,31
2,777,100,100,34
2,778,100,100,33
2,779,100,100,35
2,780,100,100,33
2,781,100,100,34
2,782,100,100,42
2,783,100,100,34
2,784,100,100,34
2,785,100,100,33
2,786,100,100,34
2,787,100,100,33
2,788,100,100,34
2,789,100,100,33
2,790,100,100,33
2,791,100,100,34
2,792,100,100,34
2,793,100,100,34
2,794,100,100,33
2,795,100,100,34
2,796,100,100,33
2,797,100,100,33
2,798,100,100,34
2,799,100,100,35
2,800,100,100,34
2,801,100,100,36
2,802,100,100,35
2,803,100,100,39
2,804,100,100,33
2,805,100,100,37
2,806,100,100,33
2,807,100,100,34
2,808,100,100,33
2,809,100,100,34
2,810,100,100,26
2,811,100,100,31
2,812,100,100,31
2,813,100,100,38
2,814,100,100,31
2,815,100,100,31
2,816,100,100,22
2,817,100,100,47
2,818,100,100,38
2,819,100,100,32
2,820,100,100,31
2,821,100,100,38
2,822,100,100,32
2,823,100,100,31
2,824,100,100,22
2,825,100,100,31
2,826,100,100,31
2,827,100,100,38
2,828,100,100,31
2,829,100,100,32
2,830,100,100,38
2,831,100,100,32
2,832,100,100,48
2,833,100,100,18
2,834,100,100,33
2,835,100,100,34
2,836,100,100,35
2,837,100,100,33
2,838,100,100,41
2,839,100,100,34
2,840,100,100,35
