numFocalElements,mine,12 cores,8 cores,16 cores AMD,20 cores amd,,,,,
2,331,294,337,880,1996,,,,,
3,211,252,466,405,457,,,,,
4,939,209,322,737,624,,,,,
5,1044,339,584,705,825,,,,,
6,529,351,1805,1679,1779,,,,,
7,2123,570,1663,4243,3717,,,,,
8,5368,1091,2182,6878,7815,,,,,
9,5371,952,2472,7663,10624,,,,,
10,10361,1568,4446,15226,14496,,,,,
11,9753,1258,3614,13059,11103,,,,,
12,12115,1816,5947,20451,18215,,,,,
13,16473,1943,6389,32760,21548,,,,,
14,13388,2356,8574,41831,27830,,,,,
15,17854,2251,7041,44197,35793,,,,,
16,15050,2688,10193,49528,40006,,,,,
17,20356,3132,11255,63758,48431,,,,,
18,22792,3396,13138,60613,51511,,,,,
19,23134,3711,15695,58737,55203,,,,,
20,24255,4463,13976,63419,66147,,,,,
21,26994,4874,19816,75475,72729,,,,,
22,32136,5207,20800,87316,79940,,,,,
23,35013,5324,20203,88956,79820,,,,,
24,32995,6390,22404,113588,88830,,,,,
25,37964,6529,22461,131232,101436,,,,,
26,42706,6880,25842,147262,119444,,,,,
27,43754,7531,26803,156801,122968,,,,,
28,48143,7991,30220,163555,140694,,,,,
29,53634,8381,35771,177050,155652,,,,,
30,63525,8848,35111,195278,146928,,,,,
31,62269,9697,39358,205792,173646,,,,,
32,65808,10321,38495,210329,189865,,,,,
33,64390,10756,49328,245865,210734,,,,,
34,67478,12580,47542,256813,212798,,,,,
35,82180,13083,54655,277430,217561,,,,,
36,79438,14158,53313,288619,237208,,,,,
37,78965,15427,57136,290848,268825,,,,,
38,86015,15325,59939,322014,250764,,,,,
39,105416,15696,62100,321912,301062,,,,,
40,101157,16440,71853,366207,304633,,,,,
41,111565,17814,70511,382818,306614,,,,,
42,98144,18105,74874,363216,359949,,,,,
43,126867,19440,77820,397835,356030,,,,,
44,128378,20171,86228,451586,345477,,,,,
45,139953,20066,89518,486461,409497,,,,,
46,134220,22307,95985,454180,411427,,,,,
47,145208,23061,101523,481351,438101,,,,,
48,126558,23900,99895,498034,443305,,,,,
49,173056,25450,104252,529148,483531,,,,,
50,156349,26669,107437,555204,465830,,,,,
51,153797,27561,116344,565725,453220,,,,,
52,170020,29123,116397,583493,485764,,,,,
53,156217,28879,121115,617736,518235,,,,,
54,204940,32739,122932,618608,520592,,,,,
55,210341,31803,128534,655545,538909,,,,,
56,213562,32693,135522,648779,554556,,,,,
57,225193,33851,134805,681443,579554,,,,,
58,242668,34955,146342,725125,655222,,,,,
59,222172,36401,148779,718491,685555,,,,,
60,221964,35932,149844,782565,690535,,,,,
61,269322,39080,166330,810143,703443,,,,,
62,265110,40196,167693,815225,748328,,,,,
63,265302,41678,167768,825868,763008,,,,,
64,284831,42906,178399,866802,785145,,,,,
65,279311,46289,182452,905919,787597,,,,,
66,317855,46241,184087,931033,820972,,,,,
67,313733,47378,194037,941985,852905,,,,,
68,305803,48242,198332,1003856,865432,,,,,
69,319037,51465,199822,995915,881016,,,,,
70,346552,51471,214025,1051812,913527,,,,,
71,347591,53342,211866,1069202,905504,,,,,
72,368229,54310,220464,1079766,991758,,,,,
73,361764,56570,229894,1116384,992271,,,,,
74,361351,57907,240205,1168759,1046203,,,,,
75,361603,60543,241701,1176965,1044283,,,,,
76,403658,61683,239891,1187227,1116654,,,,,
77,426838,64156,246328,1267906,1079038,,,,,
78,387655,63296,257490,1295417,1146693,,,,,
79,412879,68392,265877,1331594,1180567,,,,,
80,409687,69176,277071,1350616,1164799,,,,,
81,432817,69160,283339,1386011,1215627,,,,,
82,434727,71523,286362,1381359,1298090,,,,,
83,483985,75079,296136,1470458,1290420,,,,,
84,475654,74263,310470,1534045,1349801,,,,,
85,515347,76502,302065,1579680,1325130,,,,,
86,447080,78335,310336,1561613,1386597,,,,,
87,497634,79029,323965,1615316,1427764,,,,,
88,464723,83022,338728,1680677,1460188,,,,,
89,556260,85865,343403,1735598,1503219,,,,,
90,561855,84440,350392,1736105,1559502,,,,,
91,551962,92602,356182,1784394,1525103,,,,,
92,566793,91893,362282,1832159,1578147,,,,,
93,554869,92428,367852,1880221,1599496,,,,,
94,619010,93409,379520,1883536,1687382,,,,,
95,472546,98007,390802,1999565,1678044,,,,,
96,778132,96860,395203,1965825,1705596,,,,,
97,740049,98658,412108,1997776,1762929,,,,,
98,726400,100757,411574,2070187,1785882,,,,,1.7925
99,633642,102968,430487,2145141,1866099,,,,,
100,626480,107550,417721,2126624,1812345,,,,,
